,ger_all_male,ger_all_female,ger_all_total,ger_sc_male,ger_sc_female,ger_sc_total,ger_st_male,ger_st_female,ger_st_total,gpi_all,gpi_sc,gpi_st,enr_phd_male,enr_phd_female,enr_phd_total,enr_pg_male,enr_pg_female,enr_pg_total,enr_ug_male,enr_ug_female,enr_ug_total,enr_grand_male,enr_grand_female,enr_grand_total,enr_sc_male,enr_sc_female,enr_sc_total,enr_st_male,enr_st_female,enr_st_total,enr_obc_male,enr_obc_female,enr_obc_total,enr_pwd_male,enr_pwd_female,enr_pwd_total,enr_muslim_male,enr_muslim_female,enr_muslim_total,ptr_all_reg_dist,ptr_all_reg,teacher_total_male,teacher_total_female,teacher_total,teacher_sc_male,teacher_sc_female,teacher_sc_total,teacher_st_male,teacher_st_female,teacher_st_total,teacher_obc_male,teacher_obc_female,teacher_obc_total,total_universities,imputed_flag
ger_all_male,1.0,0.9148535901939769,0.9803566748872581,0.2568076049027704,0.021607265897189705,0.22957275108231914,0.26598879349857185,0.23951967864328103,0.2567676206558056,-0.4127026302696561,-0.25316406504956485,-0.3814035013256151,0.22936521104405558,0.2750782024238765,0.253260474390662,0.15947944942833445,0.18261051645671666,0.17322743398033347,0.0609081190771674,0.06953733064675172,0.06525013582548944,0.07829691038151643,0.08439642047060716,0.08137167151063884,0.07142860738468926,0.09262329112469045,0.08206509731074174,-0.07887216290571815,-0.11948602339695055,-0.09934668450182464,0.12077526280072567,0.12404729942391737,0.1227028416250814,0.1451947644690797,0.17907389087574033,0.1647796537495455,0.010085958656426105,-0.015540403685581607,-0.003340749153029633,-0.08310754039006417,-0.3132250965180704,0.1760596756193302,0.26240976739765604,0.2170555173191215,0.22020105171898205,0.3125975550115719,0.2612547053550744,0.016926965937548458,-0.14644126088290682,-0.05219915018570385,0.26609506536839683,0.30910936435659886,0.2905173794064192,0.07560694051221448,-0.07514453595026327
ger_all_female,0.9148535901939769,1.0,0.9761490276221381,0.2260839847718953,0.06996329226042738,0.22314019725254924,0.11434263114733964,0.16085027532500235,0.14014267412314718,-0.23214224922832477,-0.15944021364868433,-0.23744950593294478,0.11758995036951587,0.20335707960004087,0.1591650224323274,0.016542192161931056,0.07101397461310052,0.04718229657769244,-0.06719334392141092,-0.039578542176021594,-0.05399813075175478,-0.025670580039194854,-0.003547302734343632,-0.015135409980995766,-0.04764879384182559,-0.007114489809296668,-0.027695964049977064,-0.2608157806385739,-0.2861457563271819,-0.27445172069297363,-0.007229236045044973,0.020739428819428522,0.006601310969558767,0.05095270084627129,0.10007919803404844,0.07544026236885829,-0.06492656101392781,-0.05681485341996725,-0.06096376152993597,-0.164183652503605,-0.39100449328906206,0.032801639266330715,0.1604193760580074,0.08917025169838752,0.07520441655427007,0.18239339875091942,0.11920709566293489,-0.15103379432595135,-0.27838101125915776,-0.2170097711602468,0.14862185103420553,0.23258973650639025,0.1908192592334919,-0.07168557863983764,0.09742660753124455
ger_all_total,0.9803566748872581,0.9761490276221381,1.0,0.2482013550990082,0.04665608456095815,0.23272722280815406,0.20196659053132843,0.21240050413865044,0.2106889822158854,-0.33358325913177744,-0.21281314368619428,-0.3156928696376971,0.1818170278002258,0.2488772370532672,0.21526013748461,0.09419870202977541,0.13408963510123784,0.11703392003074047,0.0007296444786181992,0.019455807780914356,0.009801209858617725,0.030395425172718288,0.04499334101508493,0.03744388553418991,0.015368913439953084,0.047001341499399336,0.0310508407841592,-0.16889941070077333,-0.20243216058150654,-0.18622904536180862,0.06205514611047737,0.07819150165490377,0.07020315782186284,0.10434265302471157,0.14676468703240395,0.12696735902491585,-0.02339116001970025,-0.03243882189852173,-0.028257015842025366,-0.12613941620869984,-0.35988256830087456,0.111136523145296,0.22077347967809627,0.16110237578545678,0.1547695196494929,0.2567527313641313,0.1983080747205848,-0.06296893605146643,-0.21097410002136568,-0.1313596697926168,0.21581510254117328,0.28050377874742627,0.2498204000061836,0.00727812842757928,0.0030855474037225186
ger_sc_male,0.2568076049027704,0.2260839847718953,0.2482013550990082,1.0,0.6518276875524932,0.9782176046816564,0.1686382897949058,0.17536716167930533,0.17520742781827975,-0.18282399278856215,-0.10289726392929471,-0.16981387778772947,-0.07312531910743149,-0.06029709803577642,-0.06785175037600823,-0.08915592328451134,-0.09239772404816683,-0.09139993057481509,-0.10744374671943456,-0.11237216030061035,-0.11011762481518236,-0.07927541705158858,-0.08415853414109645,-0.08174094873124936,-0.10224338018448463,-0.09875180212249098,-0.10073196103226931,-0.022802799811207957,-0.014111987583756869,-0.018583989728966615,-0.08025175246412698,-0.08298618807993731,-0.08180999200210122,-0.0900632268857016,-0.06626052112531204,-0.08101113279168805,-0.14973355102599642,-0.14857258812555765,-0.14981988392383533,-0.15213647759322607,-0.14820665632125635,-0.07726756240952418,-0.059555721342510574,-0.07096250498291802,-0.04820174857112247,-0.01583303705423704,-0.03633945012107747,0.1172645748048347,0.30540108114675646,0.20693981568525005,-0.021525211780561923,0.003339216341924911,-0.009997770050783195,-0.13918586422916573,-0.2630308400307974
ger_sc_female,0.021607265897189705,0.06996329226042738,0.04665608456095815,0.6518276875524932,1.0,0.7421946483728001,0.04923121271203333,0.10289259825269205,0.07850456268778681,0.036116408644230866,0.5185393133544267,-5.957514089336778e-05,-0.12416221373051221,-0.0985607072931503,-0.11341085811462391,-0.14189831826719615,-0.13478492821603918,-0.1385885044758545,-0.14995567720634603,-0.14706770798578922,-0.1489573766448119,-0.11650284971580528,-0.11504807313289268,-0.11597568147086214,-0.1400864428307465,-0.12883963095140974,-0.134818222537272,-0.10941998418105392,-0.09685746277593485,-0.10363475235258955,-0.12424327273546175,-0.11694309681666806,-0.12094474810068524,-0.12858559136327632,-0.09697492106928979,-0.11678423337832745,-0.15653502600352082,-0.14070260129122353,-0.14893915450577053,-0.18818046895326435,-0.1610959290299914,-0.12982671038005797,-0.10402485435415271,-0.12096216841205346,-0.103217335933065,-0.07074480171951901,-0.09241986015018705,0.006852861615892562,0.15157084149570807,0.06969601976535958,-0.06898721895280549,-0.03354087379757921,-0.05311960425553667,-0.1969650089976297,-0.09903356040599616
ger_sc_total,0.22957275108231914,0.22314019725254924,0.23272722280815406,0.9782176046816564,0.7421946483728001,1.0,0.1604191698899737,0.1793957019900794,0.17332438727862287,-0.14884149217483703,-0.02816999956533801,-0.14645826109070653,-0.07976325070632545,-0.0576066419696996,-0.07017015358290392,-0.10202835815848321,-0.09768379881638774,-0.10007890305856709,-0.11940773424671762,-0.11927568139742842,-0.11966263092324458,-0.08851859464221046,-0.08914173763238518,-0.08895339495960898,-0.11341214100692223,-0.10432835688000311,-0.109157689302219,-0.045825207958163965,-0.03334380960630259,-0.0398198593786141,-0.09186203719740557,-0.0886662461059144,-0.09051341999320228,-0.0961156880719998,-0.06622735514675734,-0.08433321048979306,-0.14699195203330662,-0.1393544838994086,-0.14366035873503646,-0.1658078338999845,-0.15908790715534413,-0.08906031781507143,-0.06199815337450979,-0.0788886536032778,-0.06133518218244264,-0.024693054764815297,-0.048042878160608996,0.10098070928842157,0.2980451862968033,0.19330284371597586,-0.029459842147811038,0.0021838298668631646,-0.014819976291592162,-0.15302095990002873,-0.21744431428614336
ger_st_male,0.26598879349857185,0.11434263114733964,0.20196659053132843,0.1686382897949058,0.04923121271203333,0.1604191698899737,1.0,0.9335759669743791,0.98285440924731,-0.3369651697416883,-0.1402115528159851,-0.2894267292211586,0.34784701499498094,0.31127651346005675,0.33426495058765043,0.3458704590431361,0.33993949259870804,0.3442181183703704,0.34467949124766634,0.3670363500802479,0.3564279533313475,0.29441415422364864,0.30288474781205693,0.29892393152050684,0.36305397909378107,0.37281369927144326,0.3686492535826441,0.1441008257001323,0.12416806422873042,0.13480065019164117,0.4543894567982887,0.4619913338488937,0.4593101170559198,0.31255937606588813,0.37077402042958785,0.34775805881757915,0.34256024617373865,0.3200212632413036,0.3323038566760154,0.011106279998849597,0.09306142907113826,0.41431446337189093,0.3445865665927315,0.3915362611944188,0.40566486108956523,0.3863012430499688,0.40614400461412437,0.25275894418837225,0.16440822715549525,0.23331063236479158,0.49767710393840514,0.4248331277414605,0.470325276495491,0.27298447185872216,-0.592376876436346
ger_st_female,0.23951967864328103,0.16085027532500235,0.21240050413865044,0.17536716167930533,0.10289259825269205,0.1793957019900794,0.9335759669743791,1.0,0.9836207919870271,-0.2297498262932671,-0.06054880140716205,-0.11204105314387643,0.18408447093666017,0.16784085639153912,0.17835978628303623,0.1758559339135385,0.18656885802195972,0.1827222574473443,0.1882587327561402,0.2226530901387878,0.20541961074356435,0.17809191322329182,0.19840431166923422,0.18799851306570178,0.20471659663405395,0.2280736365908277,0.21670440406965527,0.029240370208510804,0.03619106730386186,0.032808851428216476,0.28146163738335084,0.3100852013272868,0.29635124455222767,0.18252686160806733,0.2469782881269354,0.2174886292852202,0.21156587149963435,0.23043850877090735,0.22247303887872547,-0.06427743106441802,-0.0016327511122552873,0.23307824572762376,0.18270543554628987,0.21539385327424293,0.21963703271959742,0.1942737519811365,0.21399812674259122,0.14405592072341292,0.13589128987747562,0.15114516200619246,0.3151158351432626,0.2742535273205903,0.300303508373203,0.1325240278718052,-0.5417231671440338
ger_st_total,0.2567676206558056,0.14014267412314718,0.2106889822158854,0.17520742781827975,0.07850456268778681,0.17332438727862287,0.98285440924731,0.9836207919870271,1.0,-0.2873430696877402,-0.10208657034611979,-0.20297131783233224,0.2700221173528307,0.24338576438818618,0.26030311734971706,0.26485987868987426,0.26750360728955186,0.26762818751647693,0.27076342699892586,0.2997347028800051,0.2855180630708951,0.24034105471558173,0.2550863696578699,0.24772685316499693,0.28824567109529625,0.30516288607952685,0.2972239481657851,0.08796045867632714,0.08162405871714672,0.08517661717911672,0.373880621291819,0.3925137191556654,0.3840585816956929,0.25169984093400366,0.3141492940212662,0.2874100568208339,0.2819196744633991,0.28034769901066026,0.2824049924810317,-0.0265787665455674,0.04682578285496797,0.3285109361796709,0.26771159175283443,0.30804172146099856,0.31698559703968887,0.2940501325034672,0.3142661025014811,0.20151386098253593,0.15318681506355933,0.19553315635868748,0.41255675513963974,0.3549923165292403,0.39122680785168157,0.20606134472998305,-0.5769088457141238
gpi_all,-0.4127026302696561,-0.23214224922832477,-0.33358325913177744,-0.18282399278856215,0.036116408644230866,-0.14884149217483703,-0.3369651697416883,-0.2297498262932671,-0.2873430696877402,1.0,0.26551397822657524,0.9193485475171077,-0.2412634578503284,-0.1990810670852884,-0.2239310763613919,-0.25952536470118254,-0.23773474249875923,-0.24854928998433515,-0.24585593056339217,-0.23171877949419858,-0.23966541095712374,-0.1998976346533312,-0.1900720728471265,-0.1955321157469721,-0.222317682586726,-0.20198931523175515,-0.21273025115142666,-0.30949512975351984,-0.2988597896871268,-0.30548526051846214,-0.22529734585880667,-0.20261217215205882,-0.2146379996088236,-0.21859952907571695,-0.184940642577757,-0.20803556492879052,-0.20417046889841192,-0.16477430362732862,-0.1844070836994185,-0.2984065684621042,-0.25148675165196915,-0.25132985930706037,-0.21427193371927253,-0.2398018070028747,-0.2261196160152748,-0.19984344085309244,-0.22024914851241578,-0.290659599468386,-0.27162607348295437,-0.3038607758417596,-0.18397250458616982,-0.1291383242271848,-0.16056694263478288,-0.33074225435530624,0.4008708274636649
gpi_sc,-0.25316406504956485,-0.15944021364868433,-0.21281314368619428,-0.10289726392929471,0.5185393133544267,-0.02816999956533801,-0.1402115528159851,-0.06054880140716205,-0.10208657034611979,0.26551397822657524,1.0,0.24449157554332107,-0.12113213055905128,-0.09959079360343065,-0.11225937658618822,-0.1258763056565455,-0.11601458623758526,-0.12094973081319314,-0.12035131389506877,-0.11399442949597988,-0.11759386607001342,-0.09790653754628927,-0.09360352292965224,-0.09597746283709238,-0.10970389076572384,-0.09887804931828051,-0.10457976085306625,-0.15203420811132362,-0.1473724716200135,-0.15034362273902352,-0.108623446360013,-0.09760765059775467,-0.10344534183936638,-0.11031426654661364,-0.08972790451122599,-0.1032799856989757,-0.09557417251616948,-0.07425046318128177,-0.0848074728542069,-0.16550722282261485,-0.12501130299150276,-0.11900120401668336,-0.1013193717315631,-0.11348366283613184,-0.10598211360415946,-0.09035495483290602,-0.10191790278117288,-0.13017150806015237,-0.13842705448158682,-0.14331164192855464,-0.08497742029821953,-0.05812147532250803,-0.07343844411739796,-0.16443083202371822,0.13753403945459153
gpi_st,-0.3814035013256151,-0.23744950593294478,-0.3156928696376971,-0.16981387778772947,-5.957514089336778e-05,-0.14645826109070653,-0.2894267292211586,-0.11204105314387643,-0.20297131783233224,0.9193485475171077,0.24449157554332107,1.0,-0.30226567156466866,-0.2635876706282354,-0.28721735014827365,-0.3112543734708097,-0.2918345552205226,-0.3018553975111556,-0.29423699201462866,-0.28001147961539863,-0.28813286810232913,-0.22689903487481025,-0.21592518975850697,-0.22207803092680967,-0.27777555593980624,-0.2594051570309353,-0.26927392850380893,-0.2824632239370492,-0.2506584056609605,-0.2678389035212593,-0.27318210295075906,-0.2477413685565283,-0.2612801920224278,-0.26502944039771376,-0.23359864075357872,-0.25665746122696176,-0.26238326513299864,-0.20981396934502214,-0.2359646826214406,-0.294950798239825,-0.2710341508702483,-0.3096721666160732,-0.2782236587840044,-0.3016776271589309,-0.2914156480664648,-0.2729114251464176,-0.2899387114465361,-0.27341253924512077,-0.19303299759585535,-0.2589185224309772,-0.2432644488343404,-0.18291322048494837,-0.218106344917226,-0.34985187855056443,0.3353238303482644
enr_phd_male,0.22936521104405558,0.11758995036951587,0.1818170278002258,-0.07312531910743149,-0.12416221373051221,-0.07976325070632545,0.34784701499498094,0.18408447093666017,0.2700221173528307,-0.2412634578503284,-0.12113213055905128,-0.30226567156466866,1.0,0.958784792547995,0.9910253120122425,0.8391999994083599,0.8885554944455372,0.870940340573334,0.8120824945855402,0.8399940443045544,0.8277693555231878,0.7186427978048596,0.7339468882064318,0.7272536584566891,0.8369099233808122,0.8522558370662743,0.8462697516956023,0.3188872816315174,0.26764670796730794,0.29476854064570973,0.8328365091467914,0.8363364907873834,0.8366893070020144,0.8380824553647376,0.8242216180031853,0.8520674907291934,0.7183958930989116,0.6585445793757024,0.6902705284440097,0.1305075074481139,0.12355461414654295,0.8660965646611676,0.8540452683473927,0.8769021838175955,0.8481498639882015,0.7796915914149264,0.83806265021106,0.2995965290139862,0.03580301638830754,0.20802306177880178,0.8211795048006634,0.7288921155940341,0.7893431571029793,0.7449192362738186,-0.30798765464987365
enr_phd_female,0.2750782024238765,0.20335707960004087,0.2488772370532672,-0.06029709803577642,-0.0985607072931503,-0.0576066419696996,0.31127651346005675,0.16784085639153912,0.24338576438818618,-0.1990810670852884,-0.09959079360343065,-0.2635876706282354,0.958784792547995,1.0,0.988161328933982,0.7657134784516434,0.8405574809838363,0.811392760612545,0.7129553241327364,0.7497148570004698,0.7326628180241425,0.6588851928602784,0.6832813413603565,0.6717566363255352,0.7445798296632385,0.7689609528497858,0.7582146090897705,0.2411876560504059,0.1926284990042655,0.21808125275403997,0.781118554334196,0.7961059550459701,0.7905278222058137,0.7612763736324147,0.7853792861278317,0.7913371502521407,0.6162240511102459,0.5630670027330004,0.5911429250696822,0.030363736482263596,0.002440472995352928,0.8048417089246723,0.8735004575180257,0.8497752867172257,0.7864607794729083,0.7859443907665666,0.8020663089832184,0.2130952228819751,-0.0275503379793883,0.12512422293137498,0.8343724133760968,0.806902103235057,0.8336097008965406,0.6832758599606592,-0.2374602464550605
enr_phd_total,0.253260474390662,0.1591650224323274,0.21526013748461,-0.06785175037600823,-0.11341085811462391,-0.07017015358290392,0.33426495058765043,0.17835978628303623,0.26030311734971706,-0.2239310763613919,-0.11225937658618822,-0.28721735014827365,0.9910253120122425,0.988161328933982,1.0,0.813368012639838,0.8752289862149514,0.8519967107505908,0.7739050732267818,0.8062699908674232,0.7916468828424533,0.698014094080757,0.717755066966921,0.7087190905347549,0.802188870413028,0.8219453570043331,0.8136573952109751,0.28565383236781716,0.2351410679569686,0.26176014905461115,0.81717955951728,0.8261204071717335,0.8236866029354919,0.8106770964629303,0.8145324504462145,0.832370843842695,0.6778102660254598,0.6204849748206647,0.6508241630803328,0.08475282471351882,0.06786171871618064,0.8462992731915889,0.8720935884926737,0.8732733988702288,0.827961358704647,0.7907542331548494,0.8298565796185026,0.26202128597636404,0.006370482241015595,0.17118885890786092,0.8359393348448585,0.7731847922734463,0.8183904057557819,0.7236770298211472,-0.27801494633572427
enr_pg_male,0.15947944942833445,0.016542192161931056,0.09419870202977541,-0.08915592328451134,-0.14189831826719615,-0.10202835815848321,0.3458704590431361,0.1758559339135385,0.26485987868987426,-0.25952536470118254,-0.1258763056565455,-0.3112543734708097,0.8391999994083599,0.7657134784516434,0.813368012639838,1.0,0.9805231228608335,0.993915371786099,0.9670077670153366,0.949751642131537,0.961232325887331,0.8362929566701833,0.8226062575371055,0.8311779426464654,0.9428380059816023,0.9243752109306983,0.9356954490223728,0.5356439187294971,0.4680369896655977,0.5042920312692628,0.9388755962076433,0.9138189036682953,0.9288581811621687,0.8641539604073654,0.8146983435139465,0.861940342320139,0.7267647814306764,0.6735895682313943,0.702188469432826,0.17743914654747045,0.24469531477320766,0.9375758852949846,0.8230910072835882,0.9049516165342387,0.9045128078470464,0.7506611842343506,0.8617078335505652,0.41145815766408234,0.08573963434179595,0.301445819611554,0.7605448892339783,0.5701421936463466,0.681070937422528,0.8234091390844527,-0.37470778599536364
enr_pg_female,0.18261051645671666,0.07101397461310052,0.13408963510123784,-0.09239772404816683,-0.13478492821603918,-0.09768379881638774,0.33993949259870804,0.18656885802195972,0.26750360728955186,-0.23773474249875923,-0.11601458623758526,-0.2918345552205226,0.8885554944455372,0.8405574809838363,0.8752289862149514,0.9805231228608335,1.0,0.9961901447800919,0.9469344344100119,0.950510512972818,0.9511950241528667,0.8182550012553748,0.8199149720530774,0.820475513308034,0.9338388727507656,0.9330552156168047,0.9354236810427692,0.4693281656705897,0.41114283860714734,0.44237953875656244,0.9376058011625178,0.9322803099834444,0.9373552438088099,0.8759580201798896,0.8474009659634439,0.8839195345643042,0.7455610062993017,0.703608272190031,0.7269726284440725,0.14355058906598706,0.19908571857791954,0.9355373859388284,0.865793616129568,0.9224239993641391,0.8978078826396777,0.7690138205450964,0.8648012009662223,0.3570783319060621,0.05132640251463749,0.2516630312989853,0.7985753269289326,0.6437616330983637,0.736617656624099,0.8139050016324079,-0.35376534107016144
